股票代码,股票简称,最新价,最新涨跌幅,涨停[20240605],首次涨停时间[20240605],最终涨停时间[20240605],涨停明细数据[20240605],连续涨停天数[20240605],涨停原因类别[20240605],涨停封单量[20240605],涨停封单额[20240605],涨停封单量占成交量比[20240605],涨停封单量占流通a股比[20240605],涨停开板次数[20240605],a股市值(不含限售股)[20240605],几天几板[20240605],涨停类型[20240605],market_code,code
600171.SH,上海贝岭,17.69,10.012,涨停, 09:37:30, 09:39:30,"[{""code"":""600171.SH"",""time"":1717551450732,""openTime"":1717551480732,""duration"":30000,""updatedTime"":1717551480732,""firstVol"":2.04545E7,""highestVol"":2.04545E7,""firstVolDivLTGB"":0.02885290963555757,""firstVolDivVol"":0.5432303478331445,""highestVolDivLTGB"":0.02885290963555757,""highestVolDivVol"":0.5432303478331445},{""code"":""600171.SH"",""time"":1717551525732,""openTime"":1717551555732,""duration"":30000,""updatedTime"":1717551555732,""firstVol"":3.1076065E7,""highestVol"":3.1076065E7,""firstVolDivLTGB"":0.043835581181339726,""firstVolDivVol"":0.6203316032380459,""highestVolDivLTGB"":0.043835581181339726,""highestVolDivVol"":0.6203316032380459},{""code"":""600171.SH"",""time"":1717551570732,""openTime"":null,""duration"":1530735,""updatedTime"":1717553101467,""firstVol"":1.1196235E7,""highestVol"":3.3855857E7,""firstVolDivLTGB"":0.015793295202203277,""firstVolDivVol"":0.19413581353102033,""highestVolDivLTGB"":0.04775672750032312,""highestVolDivVol"":0.5751337846573887}]",1,集成电路设计+功率器件+汽车芯片+上海央企,1.71256E7,3.02951864E8,25.17416864173456,2.41571971573348,2,12540853200.000,首板涨停,放量涨停,17,600171
601929.SH,吉视传媒,1.18,10.280,涨停, 09:31:30, 09:40:00,"[{""code"":""601929.SH"",""time"":1717551090695,""openTime"":1717551120695,""duration"":30000,""updatedTime"":1717551120695,""firstVol"":5.319757E7,""highestVol"":5.319757E7,""firstVolDivLTGB"":0.015243781983044422,""firstVolDivVol"":1.0554943570138622,""highestVolDivLTGB"":0.015243781983044422,""highestVolDivVol"":1.0554943570138622},{""code"":""601929.SH"",""time"":1717551255696,""openTime"":1717551300697,""duration"":45001,""updatedTime"":1717551300697,""firstVol"":5.92505E7,""highestVol"":5.92505E7,""firstVolDivLTGB"":0.016978251156704594,""firstVolDivVol"":0.6747625800990518,""highestVolDivLTGB"":0.016978251156704594,""highestVolDivVol"":0.6747625800990518},{""code"":""601929.SH"",""time"":1717551330697,""openTime"":1717551585733,""duration"":255036,""updatedTime"":1717551585733,""firstVol"":4.8214492E7,""highestVol"":4.8214492E7,""firstVolDivLTGB"":0.0138158792680049,""firstVolDivVol"":0.45498542068481107,""highestVolDivLTGB"":0.0138158792680049,""highestVolDivVol"":0.45498542068481107},{""code"":""601929.SH"",""time"":1717551600733,""openTime"":null,""duration"":1500734,""updatedTime"":1717553101467,""firstVol"":3.65708E7,""highestVol"":6.2133053E7,""firstVolDivLTGB"":0.010479375320066705,""firstVolDivVol"":0.292641053903415,""highestVolDivLTGB"":0.017804247710430085,""highestVolDivVol"":0.479666131411918}]",1,其它,4.9779453E7,5.873975454E7,38.071960145240695,1.4264319380889139,3,4117950000.000,首板涨停,放量涨停,17,601929
003008.SZ,开普检测,17.13,10.019,涨停, 09:44:15, 09:45:00,"[{""code"":""003008.SZ"",""time"":1717551855733,""openTime"":1717551870733,""duration"":15000,""updatedTime"":1717551870733,""firstVol"":51290.0,""highestVol"":51290.0,""firstVolDivLTGB"":6.588452609609777E-4,""firstVolDivVol"":0.032555922365963094,""highestVolDivLTGB"":6.588452609609777E-4,""highestVolDivVol"":0.032555922365963094},{""code"":""003008.SZ"",""time"":1717551900838,""openTime"":null,""duration"":1200629,""updatedTime"":1717553101467,""firstVol"":4139040.0,""highestVol"":4139040.0,""firstVolDivLTGB"":0.05316800329358403,""firstVolDivVol"":2.074724446273477,""highestVolDivLTGB"":0.05316800329358403,""highestVolDivVol"":2.074724446273477}]",1,其它,2010650.0,3.44424345E7,57.73809335787222,2.5827787559976403,1,1333541810.000,首板涨停,放量涨停,33,003008
300417.SZ,南华仪器,8.05,19.970,涨停, 09:31:00, 09:34:15,"[{""code"":""300417.SZ"",""time"":1717551060695,""openTime"":1717551120695,""duration"":60000,""updatedTime"":1717551120695,""firstVol"":3.05831E7,""highestVol"":3.37738E7,""firstVolDivLTGB"":0.3483879781103296,""firstVolDivVol"":24.860266623313283,""highestVolDivLTGB"":0.38473489917969894,""highestVolDivVol"":23.058510275141668},{""code"":""300417.SZ"",""time"":1717551255696,""openTime"":null,""duration"":1845771,""updatedTime"":1717553101467,""firstVol"":2.425416E7,""highestVol"":2.425416E7,""firstVolDivLTGB"":0.2762917350812845,""firstVolDivVol"":4.982223189965778,""highestVolDivLTGB"":0.2762917350812845,""highestVolDivVol"":4.982223189965778}]",1,机动车检测设备+环境监测设备+碳中和,1.267986E7,1.0207287300000001E8,183.73040597912868,14.444287165532742,1,706666050.000,首板涨停,放量涨停,33,300417
002197.SZ,ST证通,3.23,4.870,涨停, 10:01:01, 10:05:01,"[{""code"":""002197.SZ"",""time"":1717552861466,""openTime"":1717552906466,""duration"":45000,""updatedTime"":1717552906466,""firstVol"":1520424.0,""highestVol"":1874024.0,""firstVolDivLTGB"":0.002845575705509438,""firstVolDivVol"":0.05524869186142638,""highestVolDivLTGB"":0.003507361871386942,""highestVolDivVol"":0.06806331972302289},{""code"":""002197.SZ"",""time"":1717553101467,""openTime"":null,""duration"":0,""updatedTime"":1717553101467,""firstVol"":166698.0,""highestVol"":166698.0,""firstVolDivLTGB"":3.119865109712898E-4,""firstVolDivVol"":0.005357008574530155,""highestVolDivLTGB"":3.119865109712898E-4,""highestVolDivVol"":0.005357008574530155}]",0,,166698.0,538434.54,0.5249447809407803,0.03119865109712898,1,1725826300.000,,,33,002197
002424.SZ,ST百灵,3.56,5.015,涨停, 09:30:15, 09:33:15,"[{""code"":""002424.SZ"",""time"":1717551015673,""openTime"":1717551135695,""duration"":120022,""updatedTime"":1717551135695,""firstVol"":5143723.0,""highestVol"":8076923.0,""firstVolDivLTGB"":0.004192741642114984,""firstVolDivVol"":0.5715280164365376,""highestVolDivLTGB"":0.00658364600937031,""highestVolDivVol"":0.8043422947764854},{""code"":""002424.SZ"",""time"":1717551195695,""openTime"":null,""duration"":1905772,""updatedTime"":1717553101467,""firstVol"":3817585.0,""highestVol"":9616485.0,""firstVolDivLTGB"":0.0031117825749585526,""firstVolDivVol"":0.17334468142454326,""highestVolDivLTGB"":0.007838570838724036,""highestVolDivVol"":0.406331719905367}]",1,其它,9382385.0,3.34012906E7,39.2746098894031,0.7647751694998932,1,4367465400.000,首板涨停,缩量涨停,33,002424
688288.SH,鸿泉物联,14.76,20.000,涨停, 10:03:46, 10:03:46,"[{""code"":""688288.SH"",""time"":1717553026467,""openTime"":null,""duration"":75000,""updatedTime"":1717553101467,""firstVol"":8206840.0,""highestVol"":8267271.0,""firstVolDivLTGB"":0.0817871177446526,""firstVolDivVol"":2.7445817115059645,""highestVolDivLTGB"":0.08238935652503909,""highestVolDivVol"":2.7553446167556923}]",1,,7528123.0,1.1111509548E8,246.50736726705466,7.50232101755642,0,1481076300.000,,,17,688288
002869.SZ,金溢科技,23.82,10.023,涨停, 09:30:00, 09:48:45,"[{""code"":""002869.SZ"",""time"":1717551000000,""openTime"":1717551360697,""duration"":360697,""updatedTime"":1717551360697,""firstVol"":1.11544E7,""highestVol"":1.11544E7,""firstVolDivLTGB"":0.07052688388846583,""firstVolDivVol"":6.9885345529728715,""highestVolDivLTGB"":0.07052688388846583,""highestVolDivVol"":6.9885345529728715},{""code"":""002869.SZ"",""time"":1717551495732,""openTime"":1717551510732,""duration"":15000,""updatedTime"":1717551510732,""firstVol"":2218500.0,""highestVol"":2218500.0,""firstVolDivLTGB"":0.01402710068731276,""firstVolDivVol"":0.13011640917185496,""highestVolDivLTGB"":0.01402710068731276,""highestVolDivVol"":0.13011640917185496},{""code"":""002869.SZ"",""time"":1717552125857,""openTime"":null,""duration"":975610,""updatedTime"":1717553101467,""firstVol"":1.11799E7,""highestVol"":1.32262E7,""firstVolDivLTGB"":0.07068811493084873,""firstVolDivVol"":0.41811967357800733,""highestVolDivLTGB"":0.0836264318731287,""highestVolDivVol"":0.49037838835089753}]",2,车路协同+智慧交通+无人驾驶+华为鸿蒙,1.11939E7,2.66638698E8,40.62042759823099,7.077663393450993,2,3767326600.000,2天2板,T字涨停||放量涨停,33,002869
000692.SZ,惠天热电,3.67,9.880,涨停, 09:32:45, 09:32:45,"[{""code"":""000692.SZ"",""time"":1717551165695,""openTime"":null,""duration"":1935772,""updatedTime"":1717553101467,""firstVol"":4.72887E7,""highestVol"":5.08837E7,""firstVolDivLTGB"":0.08875025759677484,""firstVolDivVol"":2.10318755754015,""highestVolDivLTGB"":0.09549726430367111,""highestVolDivVol"":2.250276399465775}]",2,撤销退市风险警示+供热,3.34606E7,1.22800402E8,133.77390775922728,6.279802298102178,0,1955482000.000,2天2板,放量涨停,33,000692
603528.SH,多伦科技,6.79,10.049,涨停, 09:30:45, 09:45:30,"[{""code"":""603528.SH"",""time"":1717551045673,""openTime"":1717551600733,""duration"":555060,""updatedTime"":1717551600733,""firstVol"":1.0126244E7,""highestVol"":1.5071444E7,""firstVolDivLTGB"":0.014344541414680032,""firstVolDivVol"":3.8648370136056083,""highestVolDivLTGB"":0.02134976726188218,""highestVolDivVol"":2.586574851771025},{""code"":""603528.SH"",""time"":1717551930838,""openTime"":null,""duration"":1170629,""updatedTime"":1717553101467,""firstVol"":1.7718633E7,""highestVol"":1.8903233E7,""firstVolDivLTGB"":0.0250996978623087,""firstVolDivVol"":0.8432446254355811,""highestVolDivLTGB"":0.02677776761451198,""highestVolDivVol"":0.8548336441335633}]",1,其它,1.3740633E7,9.329889807000001E7,56.981862065708015,1.946457927859719,1,4793265600.000,首板涨停,放量涨停,17,603528
300046.SZ,台基股份,16.10,19.970,涨停, 09:37:00, 09:37:00,"[{""code"":""300046.SZ"",""time"":1717551420731,""openTime"":null,""duration"":1680736,""updatedTime"":1717553101467,""firstVol"":4.29961E7,""highestVol"":4.29961E7,""firstVolDivLTGB"":0.18177757909330344,""firstVolDivVol"":2.165684557162712,""highestVolDivLTGB"":0.18177757909330344,""highestVolDivVol"":2.165684557162712}]",1,功率半导体+IGBT,2.57902E7,4.1522222000000006E8,95.56720922160463,10.903500829917398,0,3808155100.000,首板涨停,放量涨停,33,300046
300177.SZ,中海达,7.39,19.968,涨停, 10:01:31, 10:01:31,"[{""code"":""300177.SZ"",""time"":1717552891466,""openTime"":null,""duration"":210001,""updatedTime"":1717553101467,""firstVol"":1.092873E8,""highestVol"":1.244371E8,""firstVolDivLTGB"":0.18026253583554844,""firstVolDivVol"":1.5250177961512534,""highestVolDivLTGB"":0.205251179213154,""highestVolDivVol"":1.6533335090694379}]",1,,1.097539E8,8.11081321E8,136.27817500816118,18.103216322336813,0,4480316100.000,,放量涨停,33,300177
603388.SH,ST元成,1.86,5.085,涨停, 09:30:15, 09:30:15,"[{""code"":""603388.SH"",""time"":1717551015673,""openTime"":null,""duration"":2085794,""updatedTime"":1717553101467,""firstVol"":6249249.0,""highestVol"":9067249.0,""firstVolDivLTGB"":0.01918515479270279,""firstVolDivVol"":1.841290283801976,""highestVolDivLTGB"":0.027836396918890508,""highestVolDivVol"":2.1300367337264094}]",1,其它,8151249.0,1.516132314E7,181.92108691348645,2.502428272883091,0,605864440.000,首板涨停,缩量涨停,22,603388
600435.SH,北方导航,10.59,9.969,涨停, 09:44:00, 09:44:00,"[{""code"":""600435.SH"",""time"":1717551840733,""openTime"":null,""duration"":1260734,""updatedTime"":1717553101467,""firstVol"":3.61512E7,""highestVol"":4.14439E7,""firstVolDivLTGB"":0.02408497891454074,""firstVolDivVol"":1.28877929380091,""highestVolDivLTGB"":0.02761112930238374,""highestVolDivVol"":1.3697189068530067}]",1,其它,2.86285E7,3.03175815E8,80.55451195308133,1.9073137789476688,0,15895435000.000,首板涨停,放量涨停,17,600435
002323.SZ,雅博股份,1.27,10.435,涨停, 09:58:01, 09:58:01,"[{""code"":""002323.SZ"",""time"":1717552681465,""openTime"":null,""duration"":420002,""updatedTime"":1717553101467,""firstVol"":9.1527354E7,""highestVol"":1.10983554E8,""firstVolDivLTGB"":0.04316468046088605,""firstVolDivVol"":0.978993830299429,""highestVolDivLTGB"":0.05234030522529354,""highestVolDivVol"":1.1534216485696227}]",1,,7.92032E7,1.00588064E8,77.12688186735646,3.7352558225158017,0,2692936400.000,5天3板,放量涨停,33,002323
002377.SZ,国创高新,2.04,10.270,涨停, 09:51:30, 09:53:15,"[{""code"":""002377.SZ"",""time"":1717552290857,""openTime"":1717552320858,""duration"":30001,""updatedTime"":1717552320858,""firstVol"":4.49249E7,""highestVol"":4.49249E7,""firstVolDivLTGB"":0.04934637236879422,""firstVolDivVol"":1.6492617311688216,""highestVolDivLTGB"":0.04934637236879422,""highestVolDivVol"":1.6492617311688216},{""code"":""002377.SZ"",""time"":1717552350858,""openTime"":1717552380858,""duration"":30000,""updatedTime"":1717552380858,""firstVol"":1.59576E7,""highestVol"":1.59576E7,""firstVolDivLTGB"":0.01752813410185155,""firstVolDivVol"":0.5334492211004881,""highestVolDivLTGB"":0.01752813410185155,""highestVolDivVol"":0.5334492211004881},{""code"":""002377.SZ"",""time"":1717552395858,""openTime"":null,""duration"":705609,""updatedTime"":1717553101467,""firstVol"":1.15806E7,""highestVol"":1.17559E7,""firstVolDivLTGB"":0.012720353297482206,""firstVolDivVol"":0.3746227278755981,""highestVolDivLTGB"":0.012912906181879269,""highestVolDivVol"":0.3797701847502689}]",1,其它,6257000.0,1.276428E7,19.513305660636266,0.6872808885752565,2,1857214500.000,首板涨停,放量涨停,33,002377
003026.SZ,中晶科技,28.66,10.019,涨停, 09:34:45, 09:36:15,"[{""code"":""003026.SZ"",""time"":1717551285697,""openTime"":1717551300697,""duration"":15000,""updatedTime"":1717551300697,""firstVol"":4405600.0,""highestVol"":4405600.0,""firstVolDivLTGB"":0.07124786768648668,""firstVolDivVol"":8.932684509326846,""highestVolDivLTGB"":0.07124786768648668,""highestVolDivVol"":8.932684509326846},{""code"":""003026.SZ"",""time"":1717551375698,""openTime"":null,""duration"":1725769,""updatedTime"":1717553101467,""firstVol"":4816000.0,""highestVol"":8573700.0,""firstVolDivLTGB"":0.07788490348150531,""firstVolDivVol"":3.1813978068437048,""highestVolDivLTGB"":0.138654858176782,""highestVolDivVol"":4.054333948077741}]",1,其它,5933580.0,1.700564028E8,200.681160204551,9.59585352159033,1,1772186300.000,首板涨停,放量涨停,33,003026
000793.SZ,华闻集团,0.95,10.465,涨停, 09:44:30, 09:44:30,"[{""code"":""000793.SZ"",""time"":1717551870733,""openTime"":null,""duration"":1230734,""updatedTime"":1717553101467,""firstVol"":2.85593E7,""highestVol"":3.639709E7,""firstVolDivLTGB"":0.01456357701926771,""firstVolDivVol"":0.17425009760624163,""highestVolDivLTGB"":0.01856039270893259,""highestVolDivVol"":0.2188558288612622}]",2,面值退市博弈+传媒+车联网,3.5200389E7,3.3440369549999997E7,20.481818397636612,1.7950145007394576,0,1862958200.000,2天2板,放量涨停,33,000793
002374.SZ,中锐股份,2.10,9.948,涨停, 09:30:00, 09:30:00,"[{""code"":""002374.SZ"",""time"":1717551000000,""openTime"":null,""duration"":2086467,""updatedTime"":1717553086467,""firstVol"":4.10311E7,""highestVol"":4.10311E7,""firstVolDivLTGB"":0.037714010136403006,""firstVolDivVol"":19.488505747126435,""highestVolDivLTGB"":0.037714010136403006,""highestVolDivVol"":19.488505747126435}]",1,增持+白酒+包装印刷+污水处理,3.55051E7,7.456281E7,721.8007359069749,3.263475025758516,0,2284702900.000,首板涨停,一字涨停||缩量涨停,33,002374
600653.SH,申华控股,1.86,10.059,涨停, 09:30:00, 09:30:00,"[{""code"":""600653.SH"",""time"":1717551000000,""openTime"":null,""duration"":2101467,""updatedTime"":1717553101467,""firstVol"":3.2854572E7,""highestVol"":6.1920172E7,""firstVolDivLTGB"":0.016879831610011088,""firstVolDivVol"":2.1540128428173637,""highestVolDivLTGB"":0.031812987142943866,""highestVolDivVol"":2.846573602847448}]",5,增持+汽车服务,4.8431137E7,9.008191482000001E7,166.84849268862126,2.4882668909562344,0,3620267400.000,5天5板,一字涨停||放量涨停,17,600653
300117.SZ,*ST嘉寓,1.03,19.767,涨停, 09:31:00, 09:32:15,"[{""code"":""300117.SZ"",""time"":1717551060695,""openTime"":1717551090695,""duration"":30000,""updatedTime"":1717551090695,""firstVol"":8881400.0,""highestVol"":8881400.0,""firstVolDivLTGB"":0.012391037446286064,""firstVolDivVol"":0.2175667234178068,""highestVolDivLTGB"":0.012391037446286064,""highestVolDivVol"":0.2175667234178068},{""code"":""300117.SZ"",""time"":1717551135695,""openTime"":null,""duration"":1965772,""updatedTime"":1717553101467,""firstVol"":8357253.0,""highestVol"":1.3010753E7,""firstVolDivLTGB"":0.011659764774820024,""firstVolDivVol"":0.17351425828990297,""highestVolDivLTGB"":0.018152175065572856,""highestVolDivVol"":0.26264533302520215}]",2,其它,1.2735653E7,1.311772259E7,25.659520119648832,1.7768364585077294,1,738262800.000,2天2板,放量涨停,33,300117
300656.SZ,民德电子,21.40,20.022,涨停, 09:41:15, 09:58:16,"[{""code"":""300656.SZ"",""time"":1717551675733,""openTime"":1717551795733,""duration"":120000,""updatedTime"":1717551795733,""firstVol"":1.8592229E7,""highestVol"":1.8592229E7,""firstVolDivLTGB"":0.14623800560497133,""firstVolDivVol"":10.753050718355322,""highestVolDivLTGB"":0.14623800560497133,""highestVolDivVol"":10.753050718355322},{""code"":""300656.SZ"",""time"":1717552020838,""openTime"":1717552140857,""duration"":120019,""updatedTime"":1717552140857,""firstVol"":1.4826354E7,""highestVol"":1.6020904E7,""firstVolDivLTGB"":0.11661734799809581,""firstVolDivVol"":2.9993524417961295,""highestVolDivLTGB"":0.12601313424811555,""highestVolDivVol"":3.1581756552302607},{""code"":""300656.SZ"",""time"":1717552170857,""openTime"":1717552185857,""duration"":15000,""updatedTime"":1717552185857,""firstVol"":30584.0,""highestVol"":30584.0,""firstVolDivLTGB"":2.405598147173447E-4,""firstVolDivVol"":0.004855511848963481,""highestVolDivLTGB"":2.405598147173447E-4,""highestVolDivVol"":0.004855511848963481},{""code"":""300656.SZ"",""time"":1717552200857,""openTime"":1717552260857,""duration"":60000,""updatedTime"":1717552260857,""firstVol"":9176134.0,""highestVol"":9340434.0,""firstVolDivLTGB"":0.07217529083381923,""firstVolDivVol"":1.4283985964663217,""highestVolDivLTGB"":0.07346759980445941,""highestVolDivVol"":1.4503169198935884},{""code"":""300656.SZ"",""time"":1717552696465,""openTime"":null,""duration"":390002,""updatedTime"":1717553086467,""firstVol"":1.0343721E7,""highestVol"":1.0343721E7,""firstVolDivLTGB"":0.08135899840596088,""firstVolDivVol"":1.277092462062145,""highestVolDivLTGB"":0.08135899840596088,""highestVolDivVol"":1.277092462062145}]",1,,6817591.0,1.4569528739999998E8,79.7561344195233,5.362406577879404,4,2720727100.000,首板涨停,放量涨停,33,300656
